Code,Label
0101211100,De pur sang arabe
0101211900,Autres que de pur sang arabe
0101219100,De pur sang arabe
0101219900,Autres
0101291000,De course
0101292000,Pour abattage
0101293100,Etalons et hongres
0101293200,juments
0101293300,Poulains et pouliches
0101293400,Poneys et ponettes
0101299100,Etalons et hongres
0101299200,juments
0101299300,Poulains et pouliches
0101299400,Poneys et ponettes
0101301000,Reproducteurs de race pure
0101309110,Anes
0101309120,Anesses
0101309130,Anons
0101309900,Autres que des especes domestiques 
0101901100,Des especes domestiques 
0101901900,Autres que des especes domestiques 
0101902100,Des especes domestiques 
0101902900,Autres que des especes domestiques 
0102210000,Reproducteurs de race pure
0102291000,Vaches laitieres
0102292000,Genisses pleines et veles
0102299110,Veaux (qui n’ont pas de dents de remplacement)
0102299120,"Taureaux, boeufs et taurillons"
0102299130,Vaches
0102299190,Autres
0102299910,Veaux (qui n’ont pas de dents de remplacement)
0102299920,"Taureaux, boeufs et taurillons"
0102299930,Vaches
0102299990,Autres
0102310000,Reproducteurs de race pure 
0102390000,Autres 
0102901000,Reproducteurs de race pure 
0102909100,Antilopes de la sous-famille Bovinae
0102909900,Autres
0103100000,Reproducteurs de race pure 
0103911000,Des especes domestiques 
0103919000,Autres
0103921000,Des especes domestiques 
0103929000,Autres
0104101000,Reproducteurs de race pure
0104109110,Pour abattage
0104109191,Agneaux et agnelles  (qui n’ont pas de dents de remplacement)
0104109192,Brebis
0104109199,Autres
0104109900,Autres que des especes domestiques 
0104201000,Reproducteurs de race pure
0104209110,Pour abattage
0104209191,Chevres
0104209192,Chevreaux (qui n’ont pas de dents de remplacement)
0104209199,Autres
0104209900,Autres que des especes domestiques 
0105111000,"Poussins dits d'un jour ""chair"""
0105112000,"Poussins dits d'un jour ""ponte"""
0105113000,"Poussins dits d'un jour ""repro-chair"""
0105114000,"Poussin dits d'un jour ""repro-ponte"""
0105121000,"Dindes et dindons, dit ""d'un jour"", destines a donner des reproducteurs"
0105122000,"Dindes et dindons dit ""d'un jour"" de race de chair"
0105123000,"Dindes et dindons dit ""d'un jour"" de race de ponte"
0105131000,"Canards dit ""d'un jour"", destines a donner des reproducteurs"
0105132000,"Canards dit ""d'un jour"" de race de chair"
0105133000,"Canards dit ""d'un jour"" de race de ponte"
0105141000,"Oies dit ""d'un jour"", destines a donner des reproducteurs"
0105142000,"Oies dit ""d'un jour"" de race de chair"
0105143000,"Oies dit ""d'un jour"" de race de ponte"
0105151000,"Pintades dit ""d'un jour"", destines a donner des reproducteurs"
0105152000,"Pintades dit ""d'un jour"" de race de chair"
0105153000,"Pintades dit ""d'un jour"" de race de ponte"
0105941100,Reproducteurs
0105941200,Pour abattage
0105941900,Autres
0105942100,Reproducteurs
0105942200,Pour abattage
0105942900,Autres
0105991100,Reproducteurs
0105991200,Pour abattage
0105991900,Autres
0105992100,Reproducteurs
0105992200,Pour abattage
0105992900,Autres
0105993100,Reproducteurs
0105993200,Pour abattage
0105993900,Autres
0105994100,Reproducteurs
0105994200,Pour abattage
0105994900,Autres
0106111000,Destines aux parcs zoologiques
0106119000,Autres
0106121100,"Baleines, dauphins et marsouins (mammiferes de l'ordre des cetaces)"
0106121200,Lamantins et dugongs (mammiferes de l'ordre des sireniens) 
0106122100,Reproducteur de race pure
0106122900,Autres
0106131000,Reproducteur de race pure
0106139000,Autres
0106141000,Reproducteur de race pure
0106149100,Destines aux parcs zoologiques 
0106149910,Lapins
0106149920,lievres
0106191100,Chiens
0106191900,Autres
0106199100,Destines aux parcs zoologiques 
0106199210,Chamois
0106199220,Renards
0106199230,Visons
0106199290,Autres
0106199910,Antilopes autres que ceux de la sous-famille Bovinae du N 01.02
0106199990,Autres
0106201000,Destines aux parcs zoologiques 
0106209100,Tortues
0106209900,Autres reptiles
0106311000,Destines aux parcs zoologiques 
0106319000,Autres
0106321000,Destines aux parcs zoologiques 
0106329000,Autres
0106331000,Destines aux parcs zoologiques 
0106339000,Autres
0106391000,Destines aux parcs zoologiques 
0106399100,Pigeons
0106399200,"Perdrix, cailles et grives"
0106399300,Becassines
0106399400,"Canards sauvages, Oies sauvages, coqs de bruyere et grouses"
0106399900,Autres
0106410000,Abeilles
0106490000,Autres 
0106901000,Destines aux parcs zoologiques 
0106909100,Grenouilles
0106909200,Vers de terre
0106909900,Autres
0201101100,De veaux
0201101900,d'autres bovins domestiques
0201102000,De buffles
0201109000,d'autres bovins
0201201000,De veaux de l’espece domestique
0201202000,d'autres bovins domestiques
0201203000,De buffles
0201209000,d'autres bovins
0201301100,De l’espece domestique 
0201301200,De buffles
0201301900,d'autres bovins
0201302100,De l’espece domestique 
0201302200,De buffles
0201302900,d'autres bovins
0201309100,De l’espece domestique 
0201309200,De buffles
0201309900,d'autres bovins
0202101100,De veaux
0202101900,d'autres bovins domestiques
0202102000,De buffles
0202109000,d'autres bovins
0202201000,De veaux de l’espece domestique
0202202000,d'autres bovins domestiques
0202203000,De buffles
0202209000,d'autres bovins
0202209100,De veaux de l’espece domestique
0202209200,d'autres bovins domestiques
0202209300,De buffles
0202209900,d'autres bovins
0202301100,De l’espece domestique 
0202301200,De buffles
0202301900,d'autres bovins
0202302100,De l’espece domestique 
0202302200,De buffles
0202302900,d'autres bovins
0202309100,De l’espece domestique 
0202309200,De buffles
0202309900,d'autres bovins
0203110000,En carcasses ou demi-carcasses
0203121000,Jambons et morceaux de jambons
0203122000,Epaules et morceauxd'epaules
0203190000,Autres 
0203210000,En carcasses ou demi-carcasses
0203221000,De l’espece domestique 
0203229000,Autres
0203290000,Autres 
0204101000,De l’espece domestique 
0204109000,Autres
0204211000,De l’espece domestique
0204219000,Autres
0204221100,d'agneau
0204221900,Autres
0204229000,Autres
0204231100,De l’espece domestique 
0204231900,Autres
0204232100,De l’espece domestique 
0204232900,Autres
0204239100,De l’espece domestique 
0204239900,Autres
0204301000,De l’espece domestique 
0204309000,Autres
0204411000,De l’espece domestique 
0204419000,Autres
0204421100,d'agneau
0204421900,Autres
0204429000,Autres
0204431100,De l’espece domestique 
0204431900,Autres
0204432100,De l’espece domestique 
0204432900,Autres
0204439100,De l’espece domestique 
0204439900,Autres
0204501100,De l’espece domestique 
0204501900,Autres
0204502100,De l’espece domestique 
0204502900,Autres
0204503100,De l’espece domestique 
0204503900,Autres
0204504100,De l’espece domestique 
0204504900,Autres
0204505100,De l’espece domestique 
0204505900,Autres
0204506100,De l’espece domestique 
0204506900,Autres
0205001100,Des especes chevalines
0205001200,Des especes asine ou mulassiere
0205002100,Des especes chevalines
0205002200,Des especes asine ou mulassiere
0206101000,Destines a la fabrication des produits pharmaceutiques
0206109100,Langues
0206109200,Foies
0206109300,"Tetes et leurs morceaux (y compris les oreilles), pieds"
0206109400,Onglets et hampes
0206109900,Autres
0206210000,Langues
0206220000,Foies 
0206291000,Destine a la fabrication des produits pharmaceutiques
0206299100,Onglets et hampes
0206299900,Autres
0206301000,Destine a la fabrication des produits pharmaceutiques
0206309000,Autres
