Code,Label
9706210000,"En matieres plastiques, non recouverts de matieres textiles"
9706220000,"En metaux communs, non recouverts de matieres textiles"
9706290000,Autres
9706301000,Ebauches et formes de boutons
9706302000,Parties
9707110000,Avec agrafes en metaux communs
9707191000,Avec agrafes en matieres plastiques
9707199000,Autres
9707201000,Rubans munis d'agrafes
9707202000,Curseurs
9707203000,Agrafes et pieces terminales
9707209000,Autres parties
9806101000,Boutons -pression
9806102000,Parties
9806210000,"En matieres plastiques, non recouverts de matieres textiles"
9806220000,"En metaux communs, non recouverts de matieres textiles"
9806290000,Autres
9806301000,Ebauches et formes de boutons
9806302000,Parties
9807110000,Avec agrafes en metaux communs
9807191000,Avec agrafes en matieres plastiques
9807199000,Autres
9807201000,Rubans munis d'agrafes
9807202000,Curseurs
9807203000,Agrafes et pieces terminales
9807209000,Autres parties
